"{""models"": [""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6"", ""google/gemini-3.5-flash""], ""questions_csv"": ""/home/v/negation-chains/Questions/boolean_literal_false.csv"", ""reasoning"": {""max_tokens"": 65536}, ""runner"": ""helper_run_sequential_negation_probe.py"", ""system_prompt"": ""Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation."", ""targeted_counts"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 50, 51, 100, 101, 500, 501], ""timeout_seconds"": 60}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,prompt_tokens,completion_tokens,total_tokens,finish_reason,answer,matches_expected,raw_response,response_source
0,false,"For the following boolean statement, evaluate what x is: x is false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,147,55,154,209,stop,false,True,false,live
0,false,"For the following boolean statement, evaluate what x is: x is false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,83,5,88,stop,false,True,false,live
0,false,"For the following boolean statement, evaluate what x is: x is false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,305,57,273,330,stop,false,True, false,live
0,false,"For the following boolean statement, evaluate what x is: x is false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,131,45,132,177,stop,false,True,false,live
1,true,"For the following boolean statement, evaluate what x is: x is not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,65,56,72,128,stop,true,True,true,live
1,true,"For the following boolean statement, evaluate what x is: x is not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,84,5,89,stop,true,True,true,live
1,true,"For the following boolean statement, evaluate what x is: x is not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,81,58,84,142,stop,true,True,true,live
1,true,"For the following boolean statement, evaluate what x is: x is not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,151,46,152,198,stop,true,True,true,live
2,false,"For the following boolean statement, evaluate what x is: x is not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,91,57,98,155,stop,false,True,false,live
2,false,"For the following boolean statement, evaluate what x is: x is not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,85,5,90,stop,false,True,false,live
2,false,"For the following boolean statement, evaluate what x is: x is not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,91,59,92,151,stop,false,True,false,live
2,false,"For the following boolean statement, evaluate what x is: x is not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,147,47,148,195,stop,false,True,false,live
3,true,"For the following boolean statement, evaluate what x is: x is not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,140,58,147,205,stop,true,True,true,live
3,true,"For the following boolean statement, evaluate what x is: x is not not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,86,5,91,stop,true,True,true,live
3,true,"For the following boolean statement, evaluate what x is: x is not not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,210,60,198,258,stop,true,True, true,live
3,true,"For the following boolean statement, evaluate what x is: x is not not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,131,48,132,180,stop,true,True,true,live
4,false,"For the following boolean statement, evaluate what x is: x is not not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,89,59,96,155,stop,false,True,false,live
4,false,"For the following boolean statement, evaluate what x is: x is not not not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,87,5,92,stop,false,True,false,live
4,false,"For the following boolean statement, evaluate what x is: x is not not not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,502,60,497,557,stop,false,True,false,live
4,false,"For the following boolean statement, evaluate what x is: x is not not not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,301,49,302,351,stop,false,True,false,live
5,true,"For the following boolean statement, evaluate what x is: x is not not not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,107,60,114,174,stop,true,True,true,live
5,true,"For the following boolean statement, evaluate what x is: x is not not not not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,88,5,93,stop,false,False,false,live
5,true,"For the following boolean statement, evaluate what x is: x is not not not not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,445,62,479,541,stop,true,True, true,live
5,true,"For the following boolean statement, evaluate what x is: x is not not not not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,231,50,232,282,stop,true,True,true,live
6,false,"For the following boolean statement, evaluate what x is: x is not not not not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,102,61,109,170,stop,false,True,false,live
6,false,"For the following boolean statement, evaluate what x is: x is not not not not not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,89,5,94,stop,false,True,false,live
6,false,"For the following boolean statement, evaluate what x is: x is not not not not not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,454,63,499,562,stop,false,True, false,live
6,false,"For the following boolean statement, evaluate what x is: x is not not not not not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,300,51,301,352,stop,false,True,false,live
7,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,153,62,160,222,stop,true,True,true,live
7,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,90,5,95,stop,false,False,false,live
7,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,257,63,267,330,stop,true,True,true,live
7,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,210,52,211,263,stop,true,True,true,live
8,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,95,63,102,165,stop,false,True,false,live
8,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,91,5,96,stop,false,True,false,live
8,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,514,65,585,650,stop,false,True, false,live
8,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,304,53,305,358,stop,false,True,false,live
9,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,135,64,142,206,stop,true,True,true,live
9,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,35,92,119,211,stop,true,True,true,live
9,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,341,66,380,446,stop,true,True, true,live
9,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,291,54,292,346,stop,true,True,true,live
10,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,108,65,115,180,stop,false,True,false,live
10,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,24,93,33,126,stop,false,True,false,live
10,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,351,66,343,409,stop,false,True,false,live
10,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,556,55,557,612,stop,false,True,false,live
11,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,134,66,141,207,stop,true,True,true,live
