dataset,results_path,model,questions_csv,runs_per_question,reasoning,system_prompt,runs,accuracy_percent,inadmissible_percent,mean_reasoning_tokens,first_nonperfect_negation_count,max_perfect_negation_count
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,../Questions/investigation_boolean_literal_false.csv,1,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",27,81.48,7.41,65.76,5,501
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,google/gemini-3.5-flash,../Questions/investigation_boolean_literal_false.csv,1,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",27,96.3,0.0,2027.93,501,500
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,moonshotai/kimi-k2.6,../Questions/investigation_boolean_literal_false.csv,1,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",27,77.78,22.22,996.14,8,100
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,openai/gpt-5.5-pro,../Questions/investigation_boolean_literal_false.csv,1,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",27,74.07,25.93,218.45,16,20
boolean_counted_false_targeted-answers,/home/v/negation-chains/Answers/boolean_counted_false_targeted-answers.csv,anthropic/claude-opus-4.7,Questions/investigation_boolean_counted_false.csv,1,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",10,90.0,0.0,0.0,1000,10001
boolean_counted_false_targeted-answers,/home/v/negation-chains/Answers/boolean_counted_false_targeted-answers.csv,google/gemini-3.5-flash,Questions/investigation_boolean_counted_false.csv,1,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",10,100.0,0.0,261.5,,10001
boolean_counted_false_targeted-answers,/home/v/negation-chains/Answers/boolean_counted_false_targeted-answers.csv,moonshotai/kimi-k2.6,Questions/investigation_boolean_counted_false.csv,1,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",10,100.0,0.0,160.9,,10001
boolean_counted_false_targeted-answers,/home/v/negation-chains/Answers/boolean_counted_false_targeted-answers.csv,openai/gpt-5.5-pro,Questions/investigation_boolean_counted_false.csv,1,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",10,100.0,0.0,59.6,,10001
boolean_literal_true_sequential-answers,/home/v/negation-chains/Answers/boolean_literal_true_sequential-answers.csv,anthropic/claude-opus-4.7,/home/v/negation-chains/Questions/investigation_boolean_literal_true.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",24,87.5,0.0,42.04,7,51
boolean_literal_true_sequential-answers,/home/v/negation-chains/Answers/boolean_literal_true_sequential-answers.csv,google/gemini-3.5-flash,/home/v/negation-chains/Questions/investigation_boolean_literal_true.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",24,100.0,0.0,643.29,,100
boolean_literal_true_sequential-answers,/home/v/negation-chains/Answers/boolean_literal_true_sequential-answers.csv,moonshotai/kimi-k2.6,/home/v/negation-chains/Questions/investigation_boolean_literal_true.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",24,95.83,0.0,2124.88,51,100
boolean_literal_true_sequential-answers,/home/v/negation-chains/Answers/boolean_literal_true_sequential-answers.csv,openai/gpt-5.5-pro,/home/v/negation-chains/Questions/investigation_boolean_literal_true.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",24,100.0,0.0,407.71,,100
sentiment_literal_targeted-answers,/home/v/negation-chains/Answers/sentiment_literal_targeted-answers.csv,anthropic/claude-opus-4.7,/home/v/negation-chains/Questions/investigation_sentiment_literal.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",8,87.5,0.0,12.12,50,51
sentiment_literal_targeted-answers,/home/v/negation-chains/Answers/sentiment_literal_targeted-answers.csv,google/gemini-3.5-flash,/home/v/negation-chains/Questions/investigation_sentiment_literal.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",8,100.0,0.0,821.88,,51
sentiment_literal_targeted-answers,/home/v/negation-chains/Answers/sentiment_literal_targeted-answers.csv,moonshotai/kimi-k2.6,/home/v/negation-chains/Questions/investigation_sentiment_literal.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",8,75.0,12.5,2431.0,50,20
sentiment_literal_targeted-answers,/home/v/negation-chains/Answers/sentiment_literal_targeted-answers.csv,openai/gpt-5.5-pro,/home/v/negation-chains/Questions/investigation_sentiment_literal.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",8,100.0,0.0,268.75,,51
lock_literal_targeted-answers,/home/v/negation-chains/Answers/lock_literal_targeted-answers.csv,anthropic/claude-opus-4.7,/home/v/negation-chains/Questions/investigation_lock_literal.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",8,87.5,0.0,2.88,5,51
lock_literal_targeted-answers,/home/v/negation-chains/Answers/lock_literal_targeted-answers.csv,google/gemini-3.5-flash,/home/v/negation-chains/Questions/investigation_lock_literal.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",8,100.0,0.0,642.38,,51
lock_literal_targeted-answers,/home/v/negation-chains/Answers/lock_literal_targeted-answers.csv,moonshotai/kimi-k2.6,/home/v/negation-chains/Questions/investigation_lock_literal.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",8,87.5,0.0,1048.0,51,50
lock_literal_targeted-answers,/home/v/negation-chains/Answers/lock_literal_targeted-answers.csv,openai/gpt-5.5-pro,/home/v/negation-chains/Questions/investigation_lock_literal.csv,,"{""max_tokens"": 65536}","Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation.",8,100.0,0.0,357.38,,51
