NegationCount,ExpectedAnswer,Question
10,false,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not false. Respond with either true or false."
11,true,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not false. Respond with either true or false."
50,false,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
51,true,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
60,false,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
61,true,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
70,false,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
71,true,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
80,false,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
81,true,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
90,false,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
91,true,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
100,false,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
101,true,"For the following boolean statement, evaluate what X is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not false. Respond with either true or false."
