NegationCount,ExpectedAnswer,Question
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word."
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word."
2,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not warm. Is it warm or cold? Answer with exactly one word."
3,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not warm. Is it warm or cold? Answer with exactly one word."
4,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not warm. Is it warm or cold? Answer with exactly one word."
5,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not warm. Is it warm or cold? Answer with exactly one word."
6,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not warm. Is it warm or cold? Answer with exactly one word."
7,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
8,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
9,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
10,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
11,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
12,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
13,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
14,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
15,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
16,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
17,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
18,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
19,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
20,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not not not not not not not not not not not not not not not not not not not warm. Is it warm or cold? Answer with exactly one word."
