NegationCount,ExpectedAnswer,Question
0,false,"If the word 'not' is applied exactly 0 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
1,true,"If the word 'not' is applied exactly 1 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
2,false,"If the word 'not' is applied exactly 2 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
3,true,"If the word 'not' is applied exactly 3 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
4,false,"If the word 'not' is applied exactly 4 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
5,true,"If the word 'not' is applied exactly 5 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
6,false,"If the word 'not' is applied exactly 6 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
7,true,"If the word 'not' is applied exactly 7 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
8,false,"If the word 'not' is applied exactly 8 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
9,true,"If the word 'not' is applied exactly 9 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
10,false,"If the word 'not' is applied exactly 10 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
11,true,"If the word 'not' is applied exactly 11 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
12,false,"If the word 'not' is applied exactly 12 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
13,true,"If the word 'not' is applied exactly 13 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
14,false,"If the word 'not' is applied exactly 14 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
15,true,"If the word 'not' is applied exactly 15 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
16,false,"If the word 'not' is applied exactly 16 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
17,true,"If the word 'not' is applied exactly 17 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
18,false,"If the word 'not' is applied exactly 18 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
19,true,"If the word 'not' is applied exactly 19 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
20,false,"If the word 'not' is applied exactly 20 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
50,false,"If the word 'not' is applied exactly 50 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
51,true,"If the word 'not' is applied exactly 51 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
100,false,"If the word 'not' is applied exactly 100 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
101,true,"If the word 'not' is applied exactly 101 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
500,false,"If the word 'not' is applied exactly 500 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
501,true,"If the word 'not' is applied exactly 501 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
1000,false,"If the word 'not' is applied exactly 1000 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
1001,true,"If the word 'not' is applied exactly 1001 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
10000,false,"If the word 'not' is applied exactly 10000 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
10001,true,"If the word 'not' is applied exactly 10001 times to false, is the result true or false? Reply with exactly one lowercase word: true or false."
