"{""max_tokens"": 8192, ""max_workers"": 4, ""measure_performance"": false, ""models"": [""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6""], ""questions_csv"": ""Questions/questions_pie.csv"", ""runs_per_question"": 5, ""use_redis_cache"": true}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,answer,matches_expected,raw_response,response_source
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,1,8192,96,,Inadmissible,warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,2,8192,70,,Inadmissible,warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,3,8192,64,,Inadmissible,warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,4,8192,71,,Inadmissible,warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,5,8192,84,,Inadmissible,warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,1,8192,0,,Inadmissible,Warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,2,8192,0,,Inadmissible,Warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,3,8192,0,,Inadmissible,Warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,4,8192,0,,Inadmissible,Warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,5,8192,0,,Inadmissible,Warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,1,8192,388,,Inadmissible,Warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,2,8192,223,,Inadmissible,warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,3,8192,482,,Inadmissible,Warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,4,8192,185,,Inadmissible,Warm,live
0,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,5,8192,281,,Inadmissible,Warm,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,1,8192,118,,Inadmissible,cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,2,8192,84,,Inadmissible,cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,3,8192,165,,Inadmissible,cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,4,8192,63,,Inadmissible,cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,5,8192,75,,Inadmissible,cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,1,8192,0,,Inadmissible,Cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,2,8192,0,,Inadmissible,Cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,3,8192,0,,Inadmissible,Cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,4,8192,0,,Inadmissible,Cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",anthropic/claude-opus-4.7,5,8192,0,,Inadmissible,Cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,1,8192,112,,Inadmissible,Cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,2,8192,268,,Inadmissible,Cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,3,8192,354,,Inadmissible,Cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,4,8192,218,,Inadmissible,Cold,live
1,cold,"A pie can be either warm or cold. You are given a pie, and you feel that it is not warm. Is it warm or cold? Answer with exactly one word.",moonshotai/kimi-k2.6,5,8192,174,,Inadmissible,Cold,live
2,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,1,8192,123,,Inadmissible,warm,live
2,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,2,,,,Inadmissible,Skipped after HTTP 402 Payment Required.,payment_required_skip
2,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,3,,,,Inadmissible,Skipped after HTTP 402 Payment Required.,payment_required_skip
2,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,4,,,,Inadmissible,Skipped after HTTP 402 Payment Required.,payment_required_skip
2,warm,"A pie can be either warm or cold. You are given a pie, and you feel that it is not not warm. Is it warm or cold? Answer with exactly one word.",openai/gpt-5.5-pro,5,,,,Inadmissible,Skipped after HTTP 402 Payment Required.,payment_required_skip
