NegationCount,ExpectedAnswer,Question
0,yes,The parking sign says that parking is allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
1,no,The parking sign says that parking is not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
2,yes,The parking sign says that parking is not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
3,no,The parking sign says that parking is not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
4,yes,The parking sign says that parking is not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
5,no,The parking sign says that parking is not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
6,yes,The parking sign says that parking is not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
7,no,The parking sign says that parking is not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
8,yes,The parking sign says that parking is not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
9,no,The parking sign says that parking is not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
10,yes,The parking sign says that parking is not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
11,no,The parking sign says that parking is not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
12,yes,The parking sign says that parking is not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
13,no,The parking sign says that parking is not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
14,yes,The parking sign says that parking is not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
15,no,The parking sign says that parking is not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
16,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
17,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
18,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
19,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
20,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
50,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
51,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
100,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
101,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
500,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
501,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.
