NegationCount,ExpectedAnswer,Question
0,locked,The vault door is locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
1,unlocked,The vault door is not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
2,locked,The vault door is not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
3,unlocked,The vault door is not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
4,locked,The vault door is not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
5,unlocked,The vault door is not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
6,locked,The vault door is not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
7,unlocked,The vault door is not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
8,locked,The vault door is not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
9,unlocked,The vault door is not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
10,locked,The vault door is not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
11,unlocked,The vault door is not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
12,locked,The vault door is not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
13,unlocked,The vault door is not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
14,locked,The vault door is not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
15,unlocked,The vault door is not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
16,locked,The vault door is not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
17,unlocked,The vault door is not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
18,locked,The vault door is not not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
19,unlocked,The vault door is not not not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
20,locked,The vault door is not not not not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
50,locked,The vault door is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
51,unlocked,The vault door is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
100,locked,The vault door is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
101,unlocked,The vault door is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
500,locked,The vault door is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
501,unlocked,The vault door is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.
