"{""models"": [""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6"", ""google/gemini-3.5-flash""], ""questions_csv"": ""Questions/investigation_parking_literal.csv"", ""reasoning"": {""max_tokens"": 65536}, ""runs_per_question"": 1, ""system_prompt"": ""Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation."", ""targeted_counts"": [50, 51, 100, 101, 500, 501], ""timeout_seconds"": 45}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,prompt_tokens,completion_tokens,total_tokens,finish_reason,answer,matches_expected,raw_response,response_source
50,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,openai/gpt-5.5-pro,1,,535,122,542,664,stop,yes,True,yes,live
50,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,anthropic/claude-opus-4.7,1,,136,158,1122,1280,stop,yes,True,yes,live
50,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,moonshotai/kimi-k2.6,1,,1614,123,1755,1878,stop,yes,True,yes,live
50,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,google/gemini-3.5-flash,1,,1544,113,1545,1658,stop,yes,True,yes,live
51,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,openai/gpt-5.5-pro,1,,997,123,1004,1127,stop,no,True,no,live
51,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,anthropic/claude-opus-4.7,1,,62,159,301,460,stop,no,True,no,live
51,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,moonshotai/kimi-k2.6,1,,16089,125,16384,16509,length,,Inadmissible,,live
51,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,google/gemini-3.5-flash,1,,1859,114,1860,1974,stop,no,True,no,live
100,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,openai/gpt-5.5-pro,1,,14856,172,14863,15035,stop,yes,True,yes,live
100,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,anthropic/claude-opus-4.7,1,,600,208,7094,7302,stop,yes,True,yes,live
100,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,moonshotai/kimi-k2.6,1,,4723,174,5349,5523,,,Inadmissible,,live
100,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,google/gemini-3.5-flash,1,,2199,163,2200,2363,stop,yes,True,yes,live
101,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,openai/gpt-5.5-pro,1,,8047,173,8054,8227,stop,no,True,no,live
101,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,anthropic/claude-opus-4.7,1,,484,209,5625,5834,stop,yes,False,yes,live
101,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,moonshotai/kimi-k2.6,1,,,,,,,,Inadmissible,JSONDecodeError: Expecting value: line 3291 column 1 (char 18095),request_error
101,no,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,google/gemini-3.5-flash,1,,3181,164,3182,3346,stop,yes,False,yes,live
500,yes,The parking sign says that parking is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not allowed between 5 and 6pm. You arrive at 5:30pm. Are you allowed to park there? Reply with exactly one lowercase word: yes or no.,openai/gpt-5.5-pro,1,,15602,572,15609,16181,stop,yes,True,yes,live
