"{""max_workers"": 4, ""measure_performance"": false, ""models"": [""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6"", ""google/gemini-3.5-flash""], ""output_csv"": ""../Answers/investigation_boolean_literal_false-answers.csv"", ""questions_csv"": ""../Questions/investigation_boolean_literal_false.csv"", ""reasoning"": {""max_tokens"": 65536}, ""runs_per_question"": 1, ""system_prompt"": ""Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation."", ""timeout_seconds"": 45, ""use_redis_cache"": false}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,prompt_tokens,completion_tokens,total_tokens,finish_reason,answer,matches_expected,raw_response,response_source
0,false,"For the following boolean statement, evaluate what x is: x is false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,82,55,89,144,stop,false,True,false,live
0,false,"For the following boolean statement, evaluate what x is: x is false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,83,5,88,stop,false,True,false,live
0,false,"For the following boolean statement, evaluate what x is: x is false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,70,57,73,130,stop,false,True, false,live
0,false,"For the following boolean statement, evaluate what x is: x is false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,138,45,139,184,stop,false,True,false,live
1,true,"For the following boolean statement, evaluate what x is: x is not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,85,56,92,148,stop,true,True,true,live
1,true,"For the following boolean statement, evaluate what x is: x is not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,84,5,89,stop,true,True,true,live
1,true,"For the following boolean statement, evaluate what x is: x is not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,130,58,112,170,stop,true,True,true,live
1,true,"For the following boolean statement, evaluate what x is: x is not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,228,46,229,275,stop,true,True,true,live
2,false,"For the following boolean statement, evaluate what x is: x is not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,99,57,106,163,stop,false,True,false,live
2,false,"For the following boolean statement, evaluate what x is: x is not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,85,5,90,stop,false,True,false,live
2,false,"For the following boolean statement, evaluate what x is: x is not not false. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,68,59,71,130,stop,false,True, false,live
2,false,"For the following boolean statement, evaluate what x is: x is not not false. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,150,47,151,198,stop,false,True,false,live
3,true,"For the following boolean statement, evaluate what x is: x is not not not false. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,126,58,133,191,stop,true,True,true,live
3,true,"For the following boolean statement, evaluate what x is: x is not not not false. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,86,5,91,stop,true,True,true,live
