"{""models"": [""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6"", ""google/gemini-3.5-flash""], ""questions_csv"": ""/home/v/negation-chains/Questions/investigation_sentiment_literal.csv"", ""reasoning"": {""max_tokens"": 65536}, ""runner"": ""run_sequential_negation_probe.py"", ""system_prompt"": ""Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation."", ""targeted_counts"": [0, 1, 2, 5, 10, 20, 50, 51], ""timeout_seconds"": 30}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,prompt_tokens,completion_tokens,total_tokens,finish_reason,answer,matches_expected,raw_response,response_source
0,positive,The movie review is positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,openai/gpt-5.5-pro,1,,43,53,50,103,stop,positive,True,positive,live
0,positive,The movie review is positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,anthropic/claude-opus-4.7,1,,0,85,6,91,stop,positive,True,positive,live
0,positive,The movie review is positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,moonshotai/kimi-k2.6,1,,159,55,123,178,stop,positive,True,positive,live
0,positive,The movie review is positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,google/gemini-3.5-flash,1,,134,43,135,178,stop,positive,True,positive,live
1,negative,The movie review is not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,openai/gpt-5.5-pro,1,,46,54,53,107,stop,negative,True,negative,live
1,negative,The movie review is not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,anthropic/claude-opus-4.7,1,,0,86,6,92,stop,negative,True,negative,live
1,negative,The movie review is not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,moonshotai/kimi-k2.6,1,,112,56,87,143,stop,negative,True, negative,live
1,negative,The movie review is not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,google/gemini-3.5-flash,1,,107,44,108,152,stop,negative,True,negative,live
2,positive,The movie review is not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,openai/gpt-5.5-pro,1,,47,55,54,109,stop,positive,True,positive,live
2,positive,The movie review is not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,anthropic/claude-opus-4.7,1,,0,87,6,93,stop,positive,True,positive,live
2,positive,The movie review is not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,moonshotai/kimi-k2.6,1,,103,57,86,143,stop,positive,True, positive,live
2,positive,The movie review is not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,google/gemini-3.5-flash,1,,115,45,116,161,stop,positive,True,positive,live
5,negative,The movie review is not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,openai/gpt-5.5-pro,1,,80,58,87,145,stop,negative,True,negative,live
5,negative,The movie review is not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,anthropic/claude-opus-4.7,1,,0,90,6,96,stop,negative,True,negative,live
5,negative,The movie review is not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,moonshotai/kimi-k2.6,1,,298,60,274,334,stop,negative,True, negative,live
5,negative,The movie review is not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,google/gemini-3.5-flash,1,,229,48,230,278,stop,negative,True,negative,live
10,positive,The movie review is not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.,openai/gpt-5.5-pro,1,,126,63,133,196,stop,positive,True,positive,live
