NegationCount,ExpectedAnswer,Question
0,false,There are exactly 0 copies of the word 'not' in this boolean statement: x is false. Evaluate x and reply with exactly one lowercase word: true or false.
1,true,There are exactly 1 copies of the word 'not' in this boolean statement: x is not false. Evaluate x and reply with exactly one lowercase word: true or false.
2,false,There are exactly 2 copies of the word 'not' in this boolean statement: x is not not false. Evaluate x and reply with exactly one lowercase word: true or false.
3,true,There are exactly 3 copies of the word 'not' in this boolean statement: x is not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
4,false,There are exactly 4 copies of the word 'not' in this boolean statement: x is not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
5,true,There are exactly 5 copies of the word 'not' in this boolean statement: x is not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
6,false,There are exactly 6 copies of the word 'not' in this boolean statement: x is not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
7,true,There are exactly 7 copies of the word 'not' in this boolean statement: x is not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
8,false,There are exactly 8 copies of the word 'not' in this boolean statement: x is not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
9,true,There are exactly 9 copies of the word 'not' in this boolean statement: x is not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
10,false,There are exactly 10 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
11,true,There are exactly 11 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
12,false,There are exactly 12 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
13,true,There are exactly 13 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
14,false,There are exactly 14 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
15,true,There are exactly 15 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
16,false,There are exactly 16 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
17,true,There are exactly 17 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
18,false,There are exactly 18 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
19,true,There are exactly 19 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
20,false,There are exactly 20 copies of the word 'not' in this boolean statement: x is not not not not not not not not not not not not not not not not not not not not false. Evaluate x and reply with exactly one lowercase word: true or false.
