NegationCount,ExpectedAnswer,Question
0,true,"For the following boolean statement, evaluate what x is: x is true. Reply with exactly one lowercase word: true or false."
1,false,"For the following boolean statement, evaluate what x is: x is not true. Reply with exactly one lowercase word: true or false."
2,true,"For the following boolean statement, evaluate what x is: x is not not true. Reply with exactly one lowercase word: true or false."
3,false,"For the following boolean statement, evaluate what x is: x is not not not true. Reply with exactly one lowercase word: true or false."
4,true,"For the following boolean statement, evaluate what x is: x is not not not not true. Reply with exactly one lowercase word: true or false."
5,false,"For the following boolean statement, evaluate what x is: x is not not not not not true. Reply with exactly one lowercase word: true or false."
6,true,"For the following boolean statement, evaluate what x is: x is not not not not not not true. Reply with exactly one lowercase word: true or false."
7,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not true. Reply with exactly one lowercase word: true or false."
8,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not true. Reply with exactly one lowercase word: true or false."
9,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
10,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
11,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
12,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
13,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
14,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
15,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
16,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
17,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
18,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
19,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
20,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
50,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
51,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
100,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
101,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
500,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
501,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not true. Reply with exactly one lowercase word: true or false."
