"{""models"": [""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6"", ""google/gemini-3.5-flash""], ""questions_csv"": ""/home/v/negation-chains/Questions/investigation_boolean_literal_true.csv"", ""reasoning"": {""max_tokens"": 65536}, ""runner"": ""run_sequential_negation_probe.py"", ""system_prompt"": ""Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation."", ""targeted_counts"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 50, 51, 100, 101, 500, 501], ""timeout_seconds"": 45}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,prompt_tokens,completion_tokens,total_tokens,finish_reason,answer,matches_expected,raw_response,response_source
0,true,"For the following boolean statement, evaluate what x is: x is true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,46,55,53,108,stop,true,True,true,live
0,true,"For the following boolean statement, evaluate what x is: x is true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,83,5,88,stop,true,True,true,live
0,true,"For the following boolean statement, evaluate what x is: x is true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,83,57,71,128,stop,true,True, true,live
0,true,"For the following boolean statement, evaluate what x is: x is true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,137,45,138,183,stop,true,True,true,live
1,false,"For the following boolean statement, evaluate what x is: x is not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,135,56,142,198,stop,false,True,false,live
1,false,"For the following boolean statement, evaluate what x is: x is not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,84,5,89,stop,false,True,false,live
1,false,"For the following boolean statement, evaluate what x is: x is not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,144,58,132,190,stop,false,True, false,live
1,false,"For the following boolean statement, evaluate what x is: x is not true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,381,46,382,428,stop,false,True,false,live
2,true,"For the following boolean statement, evaluate what x is: x is not not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,38,57,45,102,stop,true,True,true,live
2,true,"For the following boolean statement, evaluate what x is: x is not not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,85,5,90,stop,true,True,true,live
2,true,"For the following boolean statement, evaluate what x is: x is not not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,96,59,87,146,stop,true,True, true,live
2,true,"For the following boolean statement, evaluate what x is: x is not not true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,135,47,136,183,stop,true,True,true,live
3,false,"For the following boolean statement, evaluate what x is: x is not not not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,95,58,102,160,stop,false,True,false,live
3,false,"For the following boolean statement, evaluate what x is: x is not not not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,86,5,91,stop,false,True,false,live
3,false,"For the following boolean statement, evaluate what x is: x is not not not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,119,59,110,169,stop,false,True,false,live
3,false,"For the following boolean statement, evaluate what x is: x is not not not true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,132,48,133,181,stop,false,True,false,live
4,true,"For the following boolean statement, evaluate what x is: x is not not not not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,79,59,86,145,stop,true,True,true,live
4,true,"For the following boolean statement, evaluate what x is: x is not not not not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,87,5,92,stop,true,True,true,live
4,true,"For the following boolean statement, evaluate what x is: x is not not not not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,361,61,373,434,stop,true,True, true,live
4,true,"For the following boolean statement, evaluate what x is: x is not not not not true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,201,49,202,251,stop,true,True,true,live
5,false,"For the following boolean statement, evaluate what x is: x is not not not not not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,92,60,99,159,stop,false,True,false,live
5,false,"For the following boolean statement, evaluate what x is: x is not not not not not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,88,5,93,stop,false,True,false,live
5,false,"For the following boolean statement, evaluate what x is: x is not not not not not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,197,61,190,251,stop,false,True,false,live
5,false,"For the following boolean statement, evaluate what x is: x is not not not not not true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,329,50,330,380,stop,false,True,false,live
6,true,"For the following boolean statement, evaluate what x is: x is not not not not not not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,84,61,91,152,stop,true,True,true,live
6,true,"For the following boolean statement, evaluate what x is: x is not not not not not not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,89,5,94,stop,true,True,true,live
6,true,"For the following boolean statement, evaluate what x is: x is not not not not not not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,250,63,273,336,stop,true,True,true,live
6,true,"For the following boolean statement, evaluate what x is: x is not not not not not not true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,277,51,278,329,stop,true,True,true,live
7,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,98,62,105,167,stop,false,True,false,live
7,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,90,5,95,stop,true,False,true,live
7,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,236,64,262,326,stop,false,True, false,live
7,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,267,52,268,320,stop,false,True,false,live
8,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,86,63,93,156,stop,true,True,true,live
8,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,91,5,96,stop,true,True,true,live
8,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,349,64,359,423,stop,true,True,true,live
8,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,286,53,287,340,stop,true,True,true,live
9,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,110,64,117,181,stop,false,True,false,live
9,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,92,5,97,stop,false,True,false,live
9,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,248,66,251,317,stop,false,True, false,live
9,false,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not true. Reply with exactly one lowercase word: true or false.",google/gemini-3.5-flash,1,,220,54,221,275,stop,false,True,false,live
10,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not true. Reply with exactly one lowercase word: true or false.",openai/gpt-5.5-pro,1,,147,65,154,219,stop,true,True,true,live
10,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not true. Reply with exactly one lowercase word: true or false.",anthropic/claude-opus-4.7,1,,0,93,5,98,stop,false,False,false,live
10,true,"For the following boolean statement, evaluate what x is: x is not not not not not not not not not not true. Reply with exactly one lowercase word: true or false.",moonshotai/kimi-k2.6,1,,623,67,675,742,stop,true,True,true,live
