NegationCount,ExpectedAnswer,Question
0,positive,The movie review is positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
1,negative,The movie review is not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
2,positive,The movie review is not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
3,negative,The movie review is not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
4,positive,The movie review is not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
5,negative,The movie review is not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
6,positive,The movie review is not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
7,negative,The movie review is not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
8,positive,The movie review is not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
9,negative,The movie review is not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
10,positive,The movie review is not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
11,negative,The movie review is not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
12,positive,The movie review is not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
13,negative,The movie review is not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
14,positive,The movie review is not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
15,negative,The movie review is not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
16,positive,The movie review is not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
17,negative,The movie review is not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
18,positive,The movie review is not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
19,negative,The movie review is not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
20,positive,The movie review is not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
50,positive,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
51,negative,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
100,positive,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
101,negative,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
500,positive,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
501,negative,The movie review is not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not not positive. Is the sentiment positive or negative? Reply with exactly one lowercase word: positive or negative.
