"{""models"": [""openai/gpt-5.5-pro"", ""anthropic/claude-opus-4.7"", ""moonshotai/kimi-k2.6"", ""google/gemini-3.5-flash""], ""questions_csv"": ""/home/v/negation-chains/Questions/investigation_lock_literal.csv"", ""reasoning"": {""max_tokens"": 65536}, ""runner"": ""run_sequential_negation_probe.py"", ""system_prompt"": ""Return only the requested answer token or phrase, in lowercase, with no punctuation and no explanation."", ""targeted_counts"": [0, 1, 2, 5, 10, 20, 50, 51], ""timeout_seconds"": 30}"
NegationCount,ExpectedAnswer,Question,model,run_index,max_tokens,reasoning_tokens,prompt_tokens,completion_tokens,total_tokens,finish_reason,answer,matches_expected,raw_response,response_source
0,locked,The vault door is locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,openai/gpt-5.5-pro,1,,37,53,44,97,stop,locked,True,locked,live
0,locked,The vault door is locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,anthropic/claude-opus-4.7,1,,0,86,6,92,stop,locked,True,locked,live
0,locked,The vault door is locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,moonshotai/kimi-k2.6,1,,104,55,107,162,stop,locked,True, locked,live
0,locked,The vault door is locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,google/gemini-3.5-flash,1,,103,43,104,147,stop,locked,True,locked,live
1,unlocked,The vault door is not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,openai/gpt-5.5-pro,1,,53,54,61,115,stop,unlocked,True,unlocked,live
1,unlocked,The vault door is not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,anthropic/claude-opus-4.7,1,,0,87,8,95,stop,unlocked,True,unlocked,live
1,unlocked,The vault door is not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,moonshotai/kimi-k2.6,1,,82,56,76,132,stop,unlocked,True,unlocked,live
1,unlocked,The vault door is not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,google/gemini-3.5-flash,1,,106,44,108,152,stop,unlocked,True,unlocked,live
2,locked,The vault door is not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,openai/gpt-5.5-pro,1,,45,55,52,107,stop,locked,True,locked,live
2,locked,The vault door is not not locked. Is the door locked or unlocked? Reply with exactly one lowercase word: locked or unlocked.,anthropic/claude-opus-4.7,1,,0,88,6,94,stop,locked,True,locked,live
