dataset,results_path,model,negation_count,runs,accuracy,inadmissible_rate,mean_reasoning_tokens,mean_completion_tokens,mean_total_tokens
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,0,1,1.0,0.0,0.0,5.0,88.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,1,1,1.0,0.0,0.0,5.0,89.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,2,1,1.0,0.0,0.0,5.0,90.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,3,1,1.0,0.0,0.0,5.0,91.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,4,1,1.0,0.0,0.0,5.0,92.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,5,1,0.0,0.0,0.0,5.0,93.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,6,1,1.0,0.0,0.0,5.0,94.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,7,1,0.0,0.0,0.0,5.0,95.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,8,1,1.0,0.0,0.0,5.0,96.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,9,1,1.0,0.0,45.0,74.0,166.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,10,1,1.0,0.0,24.0,33.0,126.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,11,1,1.0,0.0,32.0,97.0,191.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,12,1,1.0,0.0,38.0,57.0,152.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,13,1,1.0,0.0,24.0,89.0,185.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,14,1,1.0,0.0,37.0,43.0,140.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,15,1,1.0,0.0,23.0,89.0,187.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,16,1,1.0,0.0,45.0,56.0,155.0
boolean_literal_false-answers,/home/v/negation-chains/Answers/boolean_literal_false-answers.csv,anthropic/claude-opus-4.7,17,1,1.0,0.0,35.0,130.0,230.0
